Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1354673,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1354915,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1355156,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1375703,0000045C,false,Rx,1,8,90,86,17,0E,00,00,84,86,
1454444,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1454685,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1454926,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1475693,0000045C,false,Rx,1,8,91,86,17,0E,00,00,9D,86,
1554422,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1554661,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1554909,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1575696,0000045C,false,Rx,1,8,92,86,17,0E,00,00,9C,86,
1654424,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1654913,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1655163,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1675696,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,90,86,
1754455,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1754694,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1754937,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1775694,0000045C,false,Rx,1,8,93,86,17,0E,00,00,9C,86,
1854422,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1854662,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1854904,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1875695,0000045C,false,Rx,1,8,90,86,17,0E,00,00,97,86,
1954432,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1954680,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1954921,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
1975690,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,81,86,
2054430,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2054670,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2054911,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2075698,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,8F,86,
2154418,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2154658,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2154907,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2175839,0000045C,false,Rx,1,8,92,86,17,0E,00,00,90,86,
2254424,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2254671,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2254915,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2275681,0000045C,false,Rx,1,8,90,86,17,0E,00,00,9D,86,
2354673,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2354915,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2355164,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2375683,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,90,86,
2454435,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2454676,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2454925,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2475685,0000045C,false,Rx,1,8,8B,86,17,0E,00,00,83,86,
2554432,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2554676,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2555167,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2575687,0000045C,false,Rx,1,8,90,86,17,0E,00,00,91,86,
2654681,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2654930,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2655171,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2675683,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,8F,86,
2754443,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2754683,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2754933,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2775672,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,90,86,
2854426,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2854665,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2854915,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2875671,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,90,86,
2954454,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2954695,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2954936,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
2975671,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,92,86,
3054442,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3054682,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3054923,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3075645,0000045C,false,Rx,1,8,90,86,17,0E,00,00,85,86,
3154430,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3154670,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3154918,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3175797,0000045C,false,Rx,1,8,91,86,17,0E,00,00,AA,86,
3254386,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3254626,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3254868,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3275657,0000045C,false,Rx,1,8,91,86,17,0E,00,00,92,86,
3354683,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3354924,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3355165,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3375659,0000045C,false,Rx,1,8,91,86,17,0E,00,00,8F,86,
3454451,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3454692,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3454948,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3475663,0000045C,false,Rx,1,8,92,86,17,0E,00,00,84,86,
3554451,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3554940,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3555188,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3575652,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,90,86,
3654684,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3654925,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3655168,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3675658,0000045C,false,Rx,1,8,8E,86,17,0E,00,00,8F,86,
3754449,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3754695,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3754938,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3775647,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,A1,86,
3854447,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3854688,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3854929,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3875643,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,92,86,
3954454,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3954695,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3954943,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
3975644,0000045C,false,Rx,1,8,8A,86,17,0E,00,00,92,86,
4054439,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4054679,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4054921,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4075640,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,87,86,
4154442,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4154689,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4154931,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4175789,0000045C,false,Rx,1,8,8F,86,17,0E,00,00,85,86,
4254471,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4254711,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4254960,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4275642,0000045C,false,Rx,1,8,8C,86,17,0E,00,00,9E,86,
4354682,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4354931,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4355171,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4375642,0000045C,false,Rx,1,8,8C,86,17,0E,00,00,86,86,
4454461,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4454709,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4454950,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4475635,0000045C,false,Rx,1,8,91,86,17,0E,00,00,87,86,
4554697,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4554938,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4555186,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4575637,0000045C,false,Rx,1,8,87,86,17,0E,00,00,93,86,
4654690,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4654932,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4655179,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4675627,0000045C,false,Rx,1,8,8A,86,17,0E,00,00,93,86,
4754464,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4754711,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4754953,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
4775634,0000045C,false,Rx,1,8,8B,86,17,0E,00,00,86,86,
4854442,0000042C,false,Rx,1,8,42,60,00,00,68,00,00,00,
4854683,0000043C,false,Rx,1,8,42,60,00,00,68,00,00,00,
4854924,0000044C,false,Rx,1,8,42,60,00,00,68,00,00,00,
4875625,0000045C,false,Rx,1,8,8D,86,17,0E,00,00,92,86,
4954463,0000042C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
4954710,0000043C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
4954951,0000044C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
4975610,0000045C,false,Rx,1,8,8E,86,17,0E,00,00,85,86,
5054345,0000042C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
5054592,0000043C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
5054832,0000044C,false,Rx,1,8,42,60,00,00,6D,00,00,00,
5075652,0000045C,false,Rx,1,8,88,86,17,0E,00,00,7D,86,
5154438,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5154678,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5154912,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5175812,0000045C,false,Rx,1,8,8E,86,17,0E,00,00,93,86,
5254345,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5254582,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5254824,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5275642,0000045C,false,Rx,1,8,63,86,17,0E,00,00,7A,86,
5354701,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5354943,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5355183,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5375623,0000045C,false,Rx,1,8,9A,86,17,0E,00,00,A1,86,
5454471,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5454716,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5454949,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5475617,0000045C,false,Rx,1,8,9E,86,17,0E,00,00,A0,86,
5554693,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5554934,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5555177,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5575610,0000045C,false,Rx,1,8,9E,86,17,0E,00,00,94,86,
5654469,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5654708,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5654945,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5675647,0000045C,false,Rx,1,8,A2,86,15,0E,00,00,93,86,
5754456,0000042C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5754697,0000043C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5754938,0000044C,false,Rx,1,8,42,C4,00,00,6D,00,00,00,
5775611,0000045C,false,Rx,1,8,A1,86,15,0E,00,00,AC,86,
5854360,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5854613,0000043C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5854839,0000044C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5876119,0000045C,false,Rx,1,8,A4,86,15,0E,00,00,A0,86,
5954467,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5954711,0000043C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5954945,0000044C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5959669,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5960844,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5961324,0000043C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5961789,0000044C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
5975613,0000045C,false,Rx,1,8,A3,86,15,2E,00,00,8F,86,
6060649,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6060890,0000043C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6061131,0000044C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6075660,0000045C,false,Rx,1,8,A3,86,15,2E,00,00,A9,86,
6159665,0000042C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6160123,0000043C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6160597,0000044C,false,Rx,1,8,42,C4,00,00,6C,00,00,00,
6175698,0000045C,false,Rx,1,8,88,8A,14,2E,00,00,9D,86,
6259635,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6260041,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6260415,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6275617,0000045C,false,Rx,1,8,83,8A,14,2E,00,00,85,86,
6359657,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6360117,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6360596,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6375610,0000045C,false,Rx,1,8,8A,8A,14,2E,00,00,9E,86,
6459618,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6460025,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6460406,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6475585,0000045C,false,Rx,1,8,86,8A,14,2E,00,00,93,86,
6559621,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6560026,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6560409,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6575591,0000045C,false,Rx,1,8,84,8A,14,2E,00,00,96,86,
6659615,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6660410,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6660884,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6675570,0000045C,false,Rx,1,8,83,8A,14,2E,00,00,A1,86,
6759645,0000042C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6760104,0000043C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6760584,0000044C,false,Rx,1,8,42,C4,00,00,FC,00,00,00,
6775590,0000045C,false,Rx,1,8,80,8A,14,2E,00,00,94,86,
