Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4299938194,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4299946808,0000042C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4299947055,0000043C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4299947295,0000044C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4299956832,0000042C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4299957078,0000043C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4299957319,0000044C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4300027910,0000042C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4300028151,0000043C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4300028399,0000044C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4300038170,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300038304,0000010C,false,Rx,1,2,01,00,00,00,00,00,00,00,
4300127909,0000042C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4300128159,0000043C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4300128398,0000044C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4300138145,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300227914,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300228153,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300228401,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300238146,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300238280,0000010C,false,Rx,1,2,02,00,00,00,00,00,00,00,
4300327916,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300328156,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300328396,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300338151,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300427917,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300428157,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300428398,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300438174,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300438309,0000010C,false,Rx,1,2,03,00,00,00,00,00,00,00,
4300463626,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
4300527944,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300528185,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300528425,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4300538177,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4300585000,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
4300627943,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
