Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
37977510,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
38098877,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
38189089,00000207,false,Rx,1,8,00,01,40,FF,00,00,04,00,
38189336,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
38189584,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38189817,00000247,false,Rx,1,8,00,7D,6E,03,00,00,20,00,
38190065,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
38198881,00000217,false,Rx,1,8,00,00,80,FF,9C,02,01,04,
38289049,00000207,false,Rx,1,8,00,02,40,FF,C8,02,04,00,
38289296,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
38289545,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38289777,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38298862,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
38389044,00000207,false,Rx,1,8,01,02,80,FF,C8,02,04,00,
38389283,00000227,false,Rx,1,8,00,00,00,00,05,00,1F,C5,
38389532,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38389772,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38390019,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
38398837,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
38489027,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
38489276,00000227,false,Rx,1,8,00,00,00,00,07,00,1F,C5,
38489516,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38489755,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38490004,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
38498815,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
38588973,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
38589220,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
38589469,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38589708,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38589949,00000717,false,Rx,1,8,06,00,06,45,66,06,00,40,
38598773,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
38688986,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
38689242,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
38689482,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38689723,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38689963,00000717,false,Rx,1,8,07,00,00,00,02,0A,00,00,
38698778,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
38788943,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
38789189,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
38789430,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38789671,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38789911,00000717,false,Rx,1,8,08,00,00,00,86,45,00,00,
38798757,00000217,false,Rx,1,8,02,80,80,FE,9C,02,01,04,
38888925,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
38889171,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
38889421,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
38889661,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
38889893,00000717,false,Rx,1,8,09,00,62,45,00,00,00,00,
38898717,00000217,false,Rx,1,8,02,80,80,FE,9C,02,00,04,
38988922,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
38989170,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
38989418,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
