Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
72232412,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
72353782,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
72443985,00000207,false,Rx,1,8,00,01,40,FF,00,00,04,00,
72444232,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
72444481,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72444721,00000247,false,Rx,1,8,00,7D,6E,03,00,00,20,00,
72444962,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
72453776,00000217,false,Rx,1,8,00,00,80,FF,9C,02,01,04,
72543950,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
72544197,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
72544445,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72544679,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
72553760,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
72643943,00000207,false,Rx,1,8,01,02,40,FF,C8,00,04,00,
72644189,00000227,false,Rx,1,8,00,00,00,00,08,00,1F,C5,
72644438,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72644671,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
72644918,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
72653742,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
72743930,00000207,false,Rx,1,8,01,02,40,FF,C8,00,04,00,
72744176,00000227,false,Rx,1,8,00,00,00,00,05,00,1F,C5,
72744419,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72744658,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
72744906,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
72753716,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
72843875,00000207,false,Rx,1,8,01,02,80,FF,C8,00,04,00,
72844121,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
72844370,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72844603,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
72844843,00000717,false,Rx,1,8,06,00,A6,44,66,06,00,40,
72853674,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
72943889,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
72944136,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
72944377,00000237,false,Rx,1,8,3C,41,00,00,00,00,00,00,
72944617,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
72944866,00000717,false,Rx,1,8,07,00,00,00,02,0A,00,00,
