Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
33751324,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
33872696,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
33962902,00000207,false,Rx,1,8,00,01,40,FF,00,00,04,00,
33963149,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
33963390,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
33963630,00000247,false,Rx,1,8,00,7D,6E,03,00,00,20,00,
33963878,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
33972694,00000217,false,Rx,1,8,00,00,80,FF,9C,02,01,04,
34062862,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
34063109,00000227,false,Rx,1,8,00,00,00,00,05,00,1F,C5,
34063350,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34063591,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34072673,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
34162857,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
34163103,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
34163345,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34163586,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34163833,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
34172653,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
34262842,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
34263088,00000227,false,Rx,1,8,01,00,00,00,00,00,1F,C5,
34263330,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34263570,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34263817,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
34272626,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
34362792,00000207,false,Rx,1,8,00,02,80,FF,C8,00,04,00,
34363039,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
34363280,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34363520,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34363752,00000717,false,Rx,1,8,06,00,26,45,66,06,00,40,
34372591,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
34462804,00000207,false,Rx,1,8,01,02,80,FF,C8,00,04,00,
34463052,00000227,false,Rx,1,8,00,00,00,00,05,00,1F,C5,
34463292,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34463532,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34463773,00000717,false,Rx,1,8,07,00,00,00,02,0A,00,00,
34472596,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
34562755,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
34563001,00000227,false,Rx,1,8,00,00,00,00,06,00,1F,C5,
34563249,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34563483,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34563723,00000717,false,Rx,1,8,08,00,00,00,76,44,00,00,
34572568,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
34662744,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
34662983,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
34663230,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34663466,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34663706,00000717,false,Rx,1,8,09,00,96,45,00,00,00,00,
34672537,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
34762734,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
34762980,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
34763221,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34763462,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34763710,00000717,false,Rx,1,8,0A,00,00,00,00,00,00,00,
34772518,00000217,false,Rx,1,8,02,C0,80,FE,9C,02,01,04,
34862610,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
34862856,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
34863105,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
34863353,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34863586,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34863834,00000717,false,Rx,1,8,0B,00,00,00,00,00,00,00,
34872474,00000217,false,Rx,1,8,02,C0,80,FE,9C,02,00,04,
34872728,00000507,false,Rx,1,8,2C,00,00,00,00,00,00,40,
34872975,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
34882608,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
34892605,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
34902602,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
34912602,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
34922600,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
34932598,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
34942610,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
34952609,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
34962605,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
34962853,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
34963093,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
34963341,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
34963574,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
34963822,00000717,false,Rx,1,8,0C,01,00,04,04,00,01,00,
34972485,00000217,false,Rx,1,8,02,C0,80,FE,9C,02,00,04,
34972731,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
35062673,00000207,false,Rx,1,8,01,01,C0,FF,C8,00,04,00,
35062921,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
35063160,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35063403,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35063644,00000717,false,Rx,1,8,0E,00,00,02,A6,04,00,00,
35072455,00000217,false,Rx,1,8,02,C0,80,FE,9C,02,00,04,
35162632,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
35162871,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
35163118,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35163354,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35163594,00000717,false,Rx,1,8,0F,00,EB,01,F5,0D,00,00,
35172417,00000217,false,Rx,1,8,02,C0,00,FE,9C,02,00,04,
35262639,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
35262877,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
35263125,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35263360,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35263600,00000717,false,Rx,1,8,10,07,80,FF,03,A0,FF,00,
35272417,00000217,false,Rx,1,8,02,C0,00,FE,9C,02,00,04,
35362590,00000207,false,Rx,1,8,00,01,C0,FF,C8,00,04,00,
35362836,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
35363077,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35363318,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35363566,00000717,false,Rx,1,8,11,00,00,00,00,00,02,02,
35372374,00000217,false,Rx,1,8,02,C0,00,FE,9C,02,00,04,
35462587,00000207,false,Rx,1,8,00,01,C0,FF,C8,00,04,00,
35462835,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
35463074,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35463315,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35463555,00000717,false,Rx,1,8,12,3D,25,00,27,00,15,00,
35472372,00000217,false,Rx,1,8,02,00,01,FE,9C,02,00,04,
35562563,00000207,false,Rx,1,8,00,01,C0,FF,C8,00,04,00,
35562810,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
35563057,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35563291,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35563539,00000717,false,Rx,1,8,13,00,00,00,00,00,00,00,
35572349,00000217,false,Rx,1,8,02,00,01,FE,9C,02,00,04,
35662523,00000207,false,Rx,1,8,00,01,C0,FF,C8,00,04,00,
35662769,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
35663016,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35663250,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35663498,00000717,false,Rx,1,8,14,00,00,00,FD,FF,00,00,
35672321,00000217,false,Rx,1,8,02,00,01,FE,9C,02,00,04,
35762528,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
35762774,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
35763014,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35763257,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35772310,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
35862390,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
35862636,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
35862883,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
35863132,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35863365,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35863605,00000717,false,Rx,1,8,16,00,00,00,00,00,6E,45,
35872284,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
35872538,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
35882385,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
35892382,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
35902379,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
35912384,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
35962479,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
35962718,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
35962967,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35963199,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35963448,00000717,false,Rx,1,8,17,00,00,C0,03,00,00,00,
35972263,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
36062464,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36062711,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
36062959,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36063191,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36063441,00000717,false,Rx,1,8,18,00,00,00,00,00,00,00,
36072248,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
36162423,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36162671,00000227,false,Rx,1,8,00,00,00,00,07,00,1F,C5,
36162911,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36163150,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36163400,00000717,false,Rx,1,8,19,00,00,00,00,00,00,00,
36172206,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
36262415,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36262661,00000227,false,Rx,1,8,00,00,00,00,06,00,1F,C5,
36262908,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36263142,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36263390,00000717,false,Rx,1,8,01,00,00,00,00,00,00,00,
36272199,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
36362374,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36362613,00000227,false,Rx,1,8,02,00,00,00,03,00,1F,C5,
36362860,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36363101,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36363342,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
36372180,00000217,false,Rx,1,8,02,00,81,FD,9C,02,00,04,
36462366,00000207,false,Rx,1,8,00,00,00,00,C8,00,04,00,
36462612,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
36462853,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36463093,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36472155,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
36562353,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36562600,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
36562840,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36563080,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36563329,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
36572139,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
36662313,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36662553,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
36662800,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36663040,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36663283,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
36672098,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
36762319,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36762557,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
36762805,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36763046,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36763279,00000717,false,Rx,1,8,06,00,62,46,66,06,00,40,
36772093,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
36862185,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
36862432,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36862680,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
36862921,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36863160,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36863403,00000717,false,Rx,1,8,07,00,00,00,02,0A,00,00,
36872078,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
36872328,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
36882182,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
36892179,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
36902170,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
36912174,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
36962252,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
36962498,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
36962740,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
36962979,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
36963219,00000717,false,Rx,1,8,08,00,00,00,5A,46,00,00,
36972039,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37062244,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37062490,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
37062731,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37062971,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37063211,00000717,false,Rx,1,8,09,00,36,46,00,00,00,00,
37072028,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37162207,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37162448,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
37162696,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37162935,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37163177,00000717,false,Rx,1,8,0A,00,00,00,00,00,00,00,
37171992,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37262206,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37262455,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
37262702,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37262935,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37263183,00000717,false,Rx,1,8,0B,00,00,00,00,00,00,00,
37271992,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37362185,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37362432,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
37362672,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37362913,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37363153,00000717,false,Rx,1,8,0C,01,00,04,04,00,01,00,
37371970,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37462137,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37462384,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
37462631,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37462865,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37463112,00000717,false,Rx,1,8,0E,00,00,02,06,0E,00,00,
37471930,00000217,false,Rx,1,8,02,00,01,FD,9C,02,00,04,
37562147,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37562395,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
37562636,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37562876,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
37563109,00000717,false,Rx,1,8,0F,00,EB,01,D5,10,00,00,
37571925,00000217,false,Rx,1,8,02,40,01,FD,9C,02,00,04,
37662094,00000207,false,Rx,1,8,00,00,C0,FF,C8,00,04,00,
37662334,00000227,false,Rx,1,8,02,00,00,00,00,00,1F,C5,
37662575,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
37662814,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
