Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
34991194,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
35112565,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
35202771,00000207,false,Rx,1,8,00,02,40,FF,00,00,04,00,
35203019,00000227,false,Rx,1,8,06,00,00,00,01,00,1F,C5,
35203261,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35203500,00000247,false,Rx,1,8,00,7D,6E,03,00,00,20,00,
35203749,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
35212565,00000217,false,Rx,1,8,00,00,80,FF,9C,02,01,04,
35302734,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
35302981,00000227,false,Rx,1,8,02,00,00,00,02,00,1F,C5,
35303220,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35303463,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35312547,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
35402726,00000207,false,Rx,1,8,00,02,40,FF,C8,00,04,00,
35402973,00000227,false,Rx,1,8,01,00,00,00,01,00,1F,C5,
35403220,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35403455,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35403702,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
35412525,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
35502711,00000207,false,Rx,1,8,00,02,80,FF,C8,00,04,00,
35502965,00000227,false,Rx,1,8,04,00,00,00,00,00,1F,C5,
35503206,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35503447,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35503687,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
35512498,00000217,false,Rx,1,8,02,40,80,FF,9C,02,01,04,
35602658,00000207,false,Rx,1,8,00,02,80,FF,C8,00,04,00,
35602904,00000227,false,Rx,1,8,07,00,00,00,02,00,1F,C5,
35603145,00000237,false,Rx,1,8,3B,41,00,00,00,00,00,00,
35603388,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
35603620,00000717,false,Rx,1,8,06,00,26,45,66,06,00,40,
35612460,00000217,false,Rx,1,8,02,80,00,FF,9C,02,01,04,
