Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10935876,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
11057245,00000217,false,Rx,1,8,00,00,80,FF,7D,02,00,04,
11147456,00000207,false,Rx,1,8,00,01,40,FF,00,00,04,00,
11147703,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
11147952,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11148192,00000247,false,Rx,1,8,00,7D,6E,03,00,00,20,00,
11148439,00000717,false,Rx,1,8,02,00,00,00,00,00,00,00,
11157248,00000217,false,Rx,1,8,00,00,80,FF,9C,02,01,04,
11247416,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
11247656,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
11247904,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11248144,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11257227,00000217,false,Rx,1,8,02,00,80,FF,9C,02,01,04,
11347405,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
11347651,00000227,false,Rx,1,8,00,00,00,00,01,00,1F,C5,
11347900,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11348141,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11348388,00000717,false,Rx,1,8,04,00,00,00,00,00,00,00,
11357205,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
11447389,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
11447635,00000227,false,Rx,1,8,00,00,00,00,07,00,1F,C5,
11447884,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11448124,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11448372,00000717,false,Rx,1,8,05,00,00,00,00,00,00,00,
11457179,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
11547343,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
11547582,00000227,false,Rx,1,8,00,00,00,00,08,00,1F,C5,
11547831,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11548071,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11548304,00000717,false,Rx,1,8,06,00,B6,44,66,06,00,40,
11557135,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
11647353,00000207,false,Rx,1,8,01,01,80,FF,C8,02,04,00,
11647600,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
11647850,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11648082,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11648330,00000717,false,Rx,1,8,07,00,00,00,02,0A,00,00,
11657146,00000217,false,Rx,1,8,02,40,00,FF,9C,02,01,04,
11747306,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
11747553,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
11747801,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11748042,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11748283,00000717,false,Rx,1,8,08,00,00,00,32,45,00,00,
11757122,00000217,false,Rx,1,8,02,80,80,FE,9C,02,00,04,
11847290,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
11847537,00000227,false,Rx,1,8,00,00,00,00,02,00,1F,C5,
11847792,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11848026,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11848267,00000717,false,Rx,1,8,09,00,8A,45,00,00,00,00,
11857082,00000217,false,Rx,1,8,02,80,80,FE,9C,02,00,04,
11947289,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
11947528,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
11947775,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
11948018,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
11948265,00000717,false,Rx,1,8,0A,00,00,00,00,00,00,00,
11957073,00000217,false,Rx,1,8,02,80,80,FE,9C,02,00,04,
12047168,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
12047414,00000207,false,Rx,1,8,01,01,80,FF,C8,00,04,00,
12047654,00000227,false,Rx,1,8,00,00,00,00,0A,00,1F,C5,
12047904,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
12048136,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
12048384,00000717,false,Rx,1,8,0B,00,00,00,00,00,00,00,
12057033,00000217,false,Rx,1,8,02,80,80,FE,9C,02,00,04,
12057279,00000507,false,Rx,1,8,2C,00,00,00,00,00,00,40,
12057526,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
12067160,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
12077157,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
12087161,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
12097150,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
12107155,00000367,false,Rx,1,8,00,00,00,00,00,00,00,00,
12117158,00000377,false,Rx,1,8,00,00,00,00,00,00,00,00,
12127162,00000347,false,Rx,1,8,00,00,00,00,00,08,00,00,
12137165,00000357,false,Rx,1,8,00,00,00,00,00,00,00,00,
12147157,00000327,false,Rx,1,8,00,00,00,00,00,00,00,00,
12147403,00000207,false,Rx,1,8,01,01,C0,FF,C8,00,04,00,
12147652,00000227,false,Rx,1,8,00,00,00,00,04,00,1F,C5,
12147900,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
12148140,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
12148380,00000717,false,Rx,1,8,0C,01,00,04,04,00,01,00,
12157037,00000217,false,Rx,1,8,02,80,00,FE,9C,02,00,04,
12157291,00000337,false,Rx,1,8,00,00,00,00,00,00,00,00,
12247223,00000207,false,Rx,1,8,01,01,C0,FF,C8,00,04,00,
12247470,00000227,false,Rx,1,8,00,00,00,00,00,00,1F,C5,
12247717,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
12247960,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
12248200,00000717,false,Rx,1,8,0E,00,00,02,A6,04,00,00,
12257010,00000217,false,Rx,1,8,02,80,00,FE,9C,02,00,04,
12347182,00000207,false,Rx,1,8,01,01,C0,FF,C8,00,04,00,
12347430,00000227,false,Rx,1,8,00,00,00,00,03,00,1F,C5,
12347677,00000237,false,Rx,1,8,3D,41,00,00,00,00,00,00,
12347918,00000247,false,Rx,1,8,44,7D,6E,03,00,00,20,00,
12348152,00000717,false,Rx,1,8,0F,00,EB,01,EE,0D,00,00,
12356968,00000217,false,Rx,1,8,02,C0,00,FE,9C,02,00,04,
12447188,00000207,false,Rx,1,8,00,01,C0,FF,C8,00,04,00,
