Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
634912765,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
634921378,0000042C,false,Rx,1,8,45,60,00,00,20,01,00,00,
634921626,0000043C,false,Rx,1,8,45,60,00,00,20,01,00,00,
634921866,0000044C,false,Rx,1,8,45,60,00,00,20,01,00,00,
634931403,0000042C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
634931645,0000043C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
634931892,0000044C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
635002477,0000042C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
635002717,0000043C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
635002972,0000044C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
635012748,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
635012882,0000010C,false,Rx,1,2,01,00,00,00,00,00,00,00,
635102483,0000042C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
635102722,0000043C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
635102969,0000044C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
635112714,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
635202483,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635202721,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635202969,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635212721,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
635212855,0000010C,false,Rx,1,2,02,00,00,00,00,00,00,00,
635302485,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635302724,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635302972,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635312717,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
635402490,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635402730,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635402970,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635412745,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
635412879,0000010C,false,Rx,1,2,03,00,00,00,00,00,00,00,
635438394,000005E7,false,Rx,1,8,00,3F,05,06,00,00,00,01,
635502517,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635502757,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635502997,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
635512745,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
