Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4377970208,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4377978823,0000042C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4377979063,0000043C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4377979310,0000044C,false,Rx,1,8,45,60,00,00,20,01,00,00,
4377988844,0000042C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4377989084,0000043C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4377989331,0000044C,false,Rx,1,8,4B,60,00,00,20,00,00,00,
4378059919,0000042C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4378060166,0000043C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4378060414,0000044C,false,Rx,1,8,6A,60,00,00,20,00,00,00,
4378070191,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378070326,0000010C,false,Rx,1,2,01,00,00,00,00,00,00,00,
4378159924,0000042C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4378160170,0000043C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4378160412,0000044C,false,Rx,1,8,8E,60,00,00,20,00,00,00,
4378170156,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378259929,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378260169,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378260409,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378270161,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378270295,0000010C,false,Rx,1,2,02,00,00,00,00,00,00,00,
4378359928,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378360167,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378360414,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378370159,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378459932,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378460171,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378460411,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378470187,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378470321,0000010C,false,Rx,1,2,03,00,00,00,00,00,00,00,
4378559952,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378560199,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378560440,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378570193,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378659957,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378660197,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378660445,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378670190,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378670324,0000010C,false,Rx,1,2,04,00,00,00,00,00,00,00,
4378759959,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378760199,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378760439,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378770194,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378859961,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378860199,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378860447,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378870194,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4378870328,0000010C,false,Rx,1,2,05,00,00,00,00,00,00,00,
4378959958,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378960204,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378960445,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4378970204,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379059962,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379060208,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379060449,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379070201,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379070329,0000010C,false,Rx,1,2,06,00,00,00,00,00,00,00,
4379159960,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379160207,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379160447,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379170194,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379259968,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379260207,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379260447,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379270201,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379270335,0000010C,false,Rx,1,2,07,00,00,00,00,00,00,00,
4379359970,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379360209,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379360449,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379370202,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379459966,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379460212,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379460453,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379470204,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
4379470338,0000010C,false,Rx,1,2,08,00,00,00,00,00,00,00,
4379559967,0000042C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379560206,0000043C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379560454,0000044C,false,Rx,1,8,96,60,00,00,20,00,00,00,
4379570201,0000045C,false,Rx,1,8,00,00,09,3E,00,00,00,00,
