Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
74111148,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74111391,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74111636,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74113972,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,14,8C,
74211149,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74211392,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74211637,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74213976,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,08,8C,
74311373,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74311616,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74313965,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74314200,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74411147,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74411391,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74411634,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74413968,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74511163,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74511399,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74511650,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74513987,0000045C,false,Rx,1,8,14,8C,15,0E,00,00,1F,8C,
74611220,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74611592,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74614046,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74614282,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,11,8C,
74711171,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74711415,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74711659,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74713998,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74811164,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74811410,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74814007,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74814243,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,11,8C,
74910951,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74911196,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74911439,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74913781,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,14,8C,
75010924,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75011167,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75011411,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75013746,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,06,8C,
75110931,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75111174,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75111418,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75113758,0000045C,false,Rx,1,8,12,8C,15,0E,00,00,11,8C,
75210953,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75211196,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75211441,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75213780,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,13,8C,
75311338,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75311574,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75313794,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75314030,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,FA,8B,
75410927,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75411172,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75411415,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75413753,0000045C,false,Rx,1,8,14,8C,15,0E,00,00,14,8C,
75510948,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75511184,0000043C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75511435,0000044C,false,Rx,1,8,42,60,00,00,64,00,00,00,
