Designator,Mid X,Mid Y,Layer,Rotation
D1,37.75,75.89,Top,270
D2,37.73,70.19,Top,270
D3,56.93,73.79,Top,0
D4,81.23,33.59,Top,180
D5,86.13,33.59,Top,180
CONN2,17.73,45.74,Top,0
CONN8,66.2,20.55,Top,0
CONN5,79.58,43.74,Top,90
CONN3,31.48,15.74,Top,0
CONN4,51.73,20.29,Top,0
Y2,44.53,50.49,Top,180
CONN1,9.63,24.54,Top,270
J1,32.16,56.39,Top,270
CONN7,129.1,58.89,Top,90
BATT1,7.23,69.09,Top,90
C1,3.03,52.39,Top,180
C2,32.23,20.79,Top,90
C3,40.13,45.59,Top,0
C5,39.93,2.89,Top,270
C6,40.83,56.49,Top,0
C7,42.63,45.59,Top,0
C8,46.43,45.59,Top,0
C9,47.23,2.99,Top,90
C10,49.13,56.49,Top,0
C13,53.53,14.79,Top,90
C17,70.73,31.69,Top,90
C19,78.63,75.59,Top,90
C20,80.23,65.79,Top,90
C4,39.43,38.39,Top,90
C11,49.93,45.49,Top,0
C12,51.73,62.99,Top,0
C14,63.33,44.29,Top,0
C15,67.13,53.79,Top,0
C18,75.43,39.69,Top,90
C21,96.13,35.29,Top,90
C23,118.83,52.29,Top,90
C25,117.03,17.29,Top,270
Y1,44.73,56.59,Top,0
CONN6,102.78,5.98,Top,0
LED1,87.53,59.29,Top,270
LED2,87.43,53.09,Top,270
IC5,129.43,43.21,Top,180
Q1,48.83,68.79,Top,0
R1,17.18,53.74,Top,180
R2,39.33,41.49,Top,0
R3,40.03,8.99,Top,180
R4,39.93,6.19,Top,0
R5,42.63,73.69,Top,0
R6,43.33,68.79,Top,180
R7,46.83,9.29,Top,0
R8,46.93,6.19,Top,180
R9,52.33,27.99,Top,0
R10,52.33,25.09,Top,0
R11,54.83,68.79,Top,0
R12,56.93,76.39,Top,180
R13,69.23,45.59,Top,180
R14,69.23,42.69,Top,180
R15,70.53,34.79,Top,180
R16,75.53,65.79,Top,0
R17,78.03,72.09,Top,0
R18,79.93,69.49,Top,0
R19,80.93,30.59,Top,0
R20,82.13,72.09,Top,0
R21,87.43,62.19,Top,0
R22,87.43,55.99,Top,180
R23,119.13,64.29,Top,180
R24,119.23,61.19,Top,180
R25,119.23,57.79,Top,180
IC1,9.41,52.39,Top,0
IC2,32.74,28.09,Top,0
D6,106.43,32.04,Top,270
D7,115.13,42.79,Top,270
IC3,57.23,52.09,Top,0
L1,101.73,44.09,Top,0
C16,70.23,61.09,Top,0
C49,102.1,57.9,Top,0
C50,102.03,62.89,Top,0
S1,29.93,40.29,Top,0
IC4,81,21.09,Top,0
C24,117.23,26.69,Top,0
LD1,61.23,66.69,Top,0
