Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
74111148,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74113972,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,14,8C,
74131672,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74211149,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74213976,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,08,8C,
74231597,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74311373,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74314200,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74331505,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74411147,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74413968,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74431588,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74511163,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74513987,0000045C,false,Rx,1,8,14,8C,15,0E,00,00,1F,8C,
74531599,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74611220,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74614282,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,11,8C,
74631622,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74711171,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74713998,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,11,8C,
74731602,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74811164,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74814243,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,11,8C,
74831717,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
74910951,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
74913781,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,14,8C,
74931601,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75010924,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75013746,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,06,8C,
75031604,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75110931,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75113758,0000045C,false,Rx,1,8,12,8C,15,0E,00,00,11,8C,
75131678,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75210953,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75213780,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,13,8C,
75231593,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75311338,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75314030,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,FA,8B,
75331606,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75410927,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75413753,0000045C,false,Rx,1,8,14,8C,15,0E,00,00,14,8C,
75431604,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75510948,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75513767,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,21,8C,
75531604,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75610938,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75613763,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,13,8C,
75631612,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75710943,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75713763,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,13,8C,
75731620,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75810878,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75813956,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,16,8C,
75831702,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
75910878,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
75913709,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,0A,8C,
75931612,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76010880,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76013712,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,14,8C,
76031621,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76110896,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76113723,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,14,8C,
76131683,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76210895,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76213717,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,16,8C,
76231628,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76311189,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76314009,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,05,8C,
76331627,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76410893,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76413715,0000045C,false,Rx,1,8,14,8C,15,0E,00,00,2D,8C,
76431607,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76510899,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76513595,0000045C,false,Rx,1,8,10,8C,15,0E,00,00,06,8C,
76531606,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76610876,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76613696,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,14,8C,
76631628,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76710889,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76713716,0000045C,false,Rx,1,8,11,8C,15,0E,00,00,14,8C,
76731615,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76810900,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76813978,0000045C,false,Rx,1,8,13,8C,15,0E,00,00,13,8C,
76831694,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
76910884,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
76913712,0000045C,false,Rx,1,8,15,8C,15,0E,00,00,2D,8C,
76931625,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77010886,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
77013712,0000045C,false,Rx,1,8,0F,8C,15,0E,00,00,13,8C,
77031619,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77110885,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
77113706,0000045C,false,Rx,1,8,12,8C,15,0E,00,00,13,8C,
77131687,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77210887,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
77213709,0000045C,false,Rx,1,8,16,8C,15,0E,00,00,14,8C,
77231659,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77310860,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
77313684,0000045C,false,Rx,1,8,0E,8C,15,0E,00,00,14,8C,
77331624,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77410855,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
77413675,0000045C,false,Rx,1,8,12,8C,15,0E,00,00,21,8C,
77431611,00000368,false,Rx,1,8,03,49,29,11,00,0C,40,FF,
77510978,0000042C,false,Rx,1,8,42,60,00,00,64,00,00,00,
