Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4348725454,00000207,false,Rx,1,8,00,00,C4,FF,F0,00,04,00,
4348725685,00000227,false,Rx,1,8,05,3C,3F,7F,03,00,1F,C5,
4348725934,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4348726167,00000247,false,Rx,1,8,44,7D,07,3A,05,00,20,00,
4348726399,00000217,false,Rx,1,8,21,60,81,FD,9C,37,00,03,
4348726647,00000717,false,Rx,1,8,16,00,00,00,00,00,4C,46,
4348825441,00000207,false,Rx,1,8,00,00,C4,FF,F0,00,04,00,
4348825672,00000227,false,Rx,1,8,EF,3B,34,7F,02,00,1F,C5,
4348825921,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4348826154,00000247,false,Rx,1,8,44,7D,08,3A,05,00,20,00,
4348826387,00000217,false,Rx,1,8,21,60,81,FD,9C,37,00,03,
4348826635,00000717,false,Rx,1,8,17,00,00,60,04,00,00,00,
4348925400,00000207,false,Rx,1,8,00,00,C4,FF,F0,00,04,00,
4348925633,00000227,false,Rx,1,8,DC,3B,3A,7F,01,00,1F,C5,
4348925880,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4348926115,00000247,false,Rx,1,8,44,7D,08,3A,05,00,20,00,
4348926347,00000217,false,Rx,1,8,21,60,81,FD,9C,37,00,03,
4348926596,00000717,false,Rx,1,8,18,00,00,00,00,00,00,00,
4349025415,00000207,false,Rx,1,8,00,00,04,00,F0,00,04,00,
4349025647,00000227,false,Rx,1,8,CE,3B,38,7F,00,00,1F,C5,
4349025887,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4349026130,00000247,false,Rx,1,8,44,7D,08,3A,05,00,20,00,
4349026363,00000217,false,Rx,1,8,21,60,81,FD,9C,37,00,03,
4349026603,00000717,false,Rx,1,8,19,00,00,00,00,00,00,00,
4349125353,00000207,false,Rx,1,8,00,00,C4,FF,F0,00,04,00,
4349125584,00000227,false,Rx,1,8,B2,3B,36,7F,01,00,1F,C5,
4349125824,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4349126067,00000247,false,Rx,1,8,44,7D,08,3A,05,00,20,00,
4349126299,00000217,false,Rx,1,8,21,60,81,FD,9C,37,00,03,
4349126539,00000537,false,Rx,1,8,0B,00,05,06,00,00,00,00,
4349126793,00000717,false,Rx,1,8,01,00,00,00,00,00,00,00,
4349225333,00000207,false,Rx,1,8,00,00,C4,FF,F0,00,04,00,
4349225564,00000227,false,Rx,1,8,A4,3B,3F,7F,00,00,1F,C5,
4349225804,00000237,false,Rx,1,8,39,41,00,00,00,00,00,00,
4349226047,00000247,false,Rx,1,8,44,7D,07,3A,05,00,20,00,
